Tender ID,Source,Title,Authority,Location,Estimated Value,EMD,Due Date,AI Score,Source Link
101566053,Tender247,"engagement of architect cumdesignconsultant for surveying, geotechnical & soil investigation, statutory approvals, conceptualdesign, architectural planning & drawings, carrying out all relateddesign& drawings, structuraldesign, detailed estimate, preparation and submission of detailed project report (dpr) as-well-as arranging approval of the same by our client and also providing consultancy services during different stages of execution of the project in connection with construction of multi-storied c-type quarters at bel ghaziabad.",Bridge And Roof Company (India) Limited,"Ghaziabad, Uttar Pradesh, India",37.31 Cr.,37.50 K,06-07-2026,93.0,https://www.tender247.com/auth/tender/101566053
101651671,Tender247,engagement of agency for geotechnical investigation work for 12.576 km elevated viaduct from canal road to badrabad dead end (from chainage 6904.984 to 19481.228) of ahmedabad metro rail project-phase -iii (b),Gujarat Metro Rail Corporation Limited,"Gandhinagar, Gujarat, India",,,23-07-2026,92.0,https://www.tender247.com/auth/tender/101651671
101537360,Tender247,"thirdparty inspection / project management agencies for the services of project management,designreview, construction supervision and inspection of materials, pipeline network including distribution network and machinery, equipments for providing irrigation facility to non-irrigated area for umarpada taluka, surat district through tapi karjan link pipeline project",Narmada Water Resources,"Tapi, Gujarat, India",1.11 Cr.,1.11 Lakh,24-06-2026,91.5,https://www.tender247.com/auth/tender/101537360/e1e9bc17-2e6d-4a1f-8527-7319260d7320?tesd=24-06-2026
101517192,Tender247,selection of engineering consultant for structural evaluation of 28 bank owned buildings under delhi circle office.,Canara Bank,"New Delhi, Delhi, India",,,,88.5,https://www.tender247.com/auth/tender/101517192/1e1525a9-8a06-46ca-a12f-0d2e6395be4a?tesd=09-07-2026
101338528,Tender247,"corrigendum : appointment ofthird-party quality control assurance agency for new construction projects (package-ii, rites) at iit delhi campus in hauz khas, new delhi.",Indian Institute Of Technology,"New Delhi, Delhi, India",2.05 Cr.,4.11 Lakh,06-07-2026,87.5,https://www.tender247.com/auth/tender/101338528/f61f37c1-d6ef-4849-b661-cfe839dcd318?tesd=06-07-2026
,TenderDetail,"Tender for Strengthening/ Rehabilitation Of 2400Mm Storm Water Drain From Dividing Road Sector 12A/14 To Singh Nallah Choe , Industrial Area Phase - I, Panchkula By Mwsl Technology.",,Haryana,,,,85.5,https://www.tenderdetail.com/tenders/56125177
,TenderDetail,"Hiring Empanelment Of Third - Party Inspection Agency Under Jal Jeevan Mission And Other Works By Rural Drinking Water And Sanitation Division, Udupi District In Karnataka",,Karnataka,,,,85.5,https://www.tenderdetail.com/tenders/56130425
,TenderDetail,Corrigendum : Tender for 2/10 Repair/ Rehabilitation Work On Dantliya Rati Kaker Km. 1/00,,Rajasthan,,,,85.5,https://www.tenderdetail.com/tenders/55808060
,TenderDetail,Corrigendum : Tender for Engagement Of Special Third Party Independent Techno Financial Auditor For Techno Financial Audit The Jurisdiction Of Punjab W/S & Sewerage Division No 1 Bathinda Under Special Assistance Scheme (Project 10 Cr. And 10 Cr. Project Cost 30 Cr.),,Punjab,,,,85.5,https://www.tenderdetail.com/tenders/56009062
101584207,Tender247,retrofitting and remaining works in anjanisain market water supply scheme.,Uttarakhand Pey Jal Nigam,"Tehri Garhwal, Uttarakhand, India",,1.23 Lakh,03-07-2026,84.5,https://www.tender247.com/auth/tender/101584207
,TenderDetail,Bids Are invited for Custom Bid For Services - Soil Investigation For Provn Of 300 Mtr Baffle Range For Agniveers At Jak Rrc,,Madhya Pradesh,,,,84.5,https://www.tenderdetail.com/tenders/56114940
,TenderDetail,"Tender for Consultancy Services, Comprehensive Design And Project Management Upto Completion Of Entire Project For Provn Of Infrastructure For Echs Type D Polyclinic At Goa Naval Area Under Ge (P) Vasco.",,Goa,,,,84.5,https://www.tenderdetail.com/tenders/56120632
101607953,Tender247,"engagement of consultant for obtaining peso license for ot-ii jetty of haldia
dock complex, syama prasad mookerjee port, kolkata.",Kolkata Port Trust,"Midnapore, West Bengal, India",,,30-06-2026,84.0,https://www.tender247.com/auth/tender/101607953/45be65bd-db08-4a8e-9cf0-c20329730759?tesd=30-06-2026
,TenderDetail,"Bids Are invited for Custom Bid For Services - Quantitative Risk Assessment And Hazard And Operability Study Of Bpcl Mupl, Kjpl Khpl Pipelines - Hazop Study Of Mumbai - Uran Lpg Pipeline (Mupl",,Maharashtra,,,,84.0,https://www.tenderdetail.com/tenders/56123431
101576684,Tender247,"engagement of architect cumdesignconsultant for surveying, geotechnical & soil investigation, conceptualdesign, architectural planning & drawings, carrying out all relateddesign& drawings, structuraldesign, detailed estimate, preparation and submission of detailed project report (dpr) as-well-as arranging approval of the same by our client and also providing consultancy services during different stages of execution of the project in connection with construction of a new building and infrastructure up-gradation of client workshop at icat centre  2, manesar (haryana).",Bridge And Roof Company (India) Limited,"Manesar, Haryana, India",,,07-07-2026,83.5,https://www.tender247.com/auth/tender/101576684
,TenderDetail,"Including Earthing & Any Other Leftover Items If Any As Per Site Requirement And Specification Approved By Dhbvn Department) (All Type Of Third Party Inspections Charges E. Pre-Dispatch, Final Inspection, M",,Haryana,,,,83.5,https://www.tenderdetail.com/tenders/56124381
,TenderDetail,"Including Earthing & Any Other Leftover Items If Any As Per Site Requirement And Specification Approved By Dhbvn Department) (All Type Of Third Party Inspections Charges E. Pre-Dispatch, Final Inspection, M",,Haryana,,,,82.0,https://www.tenderdetail.com/tenders/56124381
,TenderDetail,to pro vide test certificate form nabl approved lab for rubber material. [ warranty period: 30 mont hs after the date of delivery ] ],,Punjab,,,,80.0,https://www.tenderdetail.com/tenders/56125960
,TenderDetail,"Bids Are invited for Architecture Services , Mep E And M Services , Structure Services , Proof Checking And Vetting , Detailed Estimate Total Quantity : 19105",,Maharashtra,,,,80.0,https://www.tenderdetail.com/tenders/56114064
,TenderDetail,"Bids Are invited for Calibration Services - Thermal, As Per Technical Specifications; Specific Heat Humidity, Temperature, As Per Technical Specifications; Nabl Labs; Buyer Premises (Onsite)",,Karnataka,,,,78.5,https://www.tenderdetail.com/tenders/56127662
101360836,Tender247,"corrigendum :designconsultancy, geotechnical investigation and preparation of dpr detailed estimates boq along with all architectural structural drawings withdesigncalculations for approval and providing all working drawings i.e. architectural, structural and",Public Works Department,"Kupwara, Jammu And Kashmir, India",,20.00 K,23-06-2026,76.0,https://www.tender247.com/auth/tender/101360836
101579777,Tender247,providing consultancy of structural and architecturaldesignfor survey of different roads and preparation of dprs including structuraldesign/drawings for upcoming various projects of roads bridges and allied works of randb division surankote - please refer to boq.,Public Works Department,"Poonch, Jammu And Kashmir, India",,50.00 K,03-07-2026,76.0,https://www.tender247.com/auth/tender/101579777/a457eb82-77e0-4f36-b9ee-03c9bb265950?tesd=03-07-2026
101624459,Tender247,conducting structuralstabilitytests of the ntpc rihand plant as per - conducting structuralstabilitytests of the ntpc rihand plant as perfactory act 1948 up factory rules 1950,National Thermal Power Corporation Limited,"Sonebhadra, Uttar Pradesh, India",,,30-06-2026,76.0,https://www.tender247.com/auth/tender/101624459/3bcb751b-308d-479e-8114-1643fcb5c11a?tesd=30-06-2026
101584203,Tender247,retrofitting and remaining works in molimay suneldi market water supply scheme.,Uttarakhand Pey Jal Nigam,"Tehri Garhwal, Uttarakhand, India",,82.00 K,03-07-2026,73.0,https://www.tender247.com/auth/tender/101584203
101545080,Tender247,"detailed project reports (dpr) including sub-soil investigations and structural designs for development of existing fishing harbour alvekodi, uttar kannada district as smart and integrated.",Infrastructure Development Ports & Inland Water Transport Department,"Karwar, Karnataka, India",,8.00 K,29-06-2026,71.5,https://www.tender247.com/auth/tender/101545080
101545124,Tender247,"detailed project reports (dpr) including sub-soil investigations and structural designs for development of existing fishing harbour at mavinakurve, bhatkal, uttar kannada district as smart and integrated.",Infrastructure Development Ports & Inland Water Transport Department,"Karwar, Karnataka, India",,13.50 K,29-06-2026,71.5,https://www.tender247.com/auth/tender/101545124
,TenderDetail,"Tender for Provn Of Bore Hole(Soil Investigation ) For Under Ground Operation Room Near Corps Hq , Bb Cantt Srinagar",,Jammu and Kashmir,,,,71.5,https://www.tenderdetail.com/tenders/56127194
101045226,Tender247,corrigendum : hiring of consultants - milestonedeliverable based - geotechnical investigation exploratory drifts at lower dam axis for kumbhe pumped storage project maharashtra construction of exploratory drifts; geotechnical investigation exploratory drifts at l..,Wapcos Limited,"Gurgaon, Haryana, India",2.10 Cr.,4.20 Lakh,26-06-2026,71.0,https://www.tender247.com/auth/tender/101045226/af0ed439-0797-48fa-afbb-01a5acdd2198?tesd=26-06-2026
